id,Query,Candidate A,Candidate B,Winner,Comment
310,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",https://linkedin.com/in/alievsky,https://linkedin.com/in/sjunwikul,B,"He's technically not an BU Alum yet (he's still attending) BUT he has more experience with AI, LLM, He's a founder of an AI adjacent company, appears to have more experience.  The other candidate has a background in Bus Dev"
213,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/kylekrafka,https://linkedin.com/in/mo-taz-al-hami-1487a882,A,"He works for a drone delivery start up, and is responsible for Perception and navigation anchoring on safety & reliability- The other candidate - has experience as a computer vision engineer but not for a startup"
120,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/paul-shved,https://linkedin.com/in/manlio-barajas,A,He a Perception ML Engineer and works for a startup that's focused on providing  self-driving stack for military vehicles. While the other candidate is a computer vision engineer- he leverages it at a company that builds and reconstructs houses. 
559,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/jessica-eindhoven-260388198,https://linkedin.com/in/prsnkrsn,B,"Both candidates are perception engineers & they both work for Autonomous driving startups- however the winner had built out his profile offering more specific info while the other candidate had barely built out her profile making it seem like it is fictitious.  the winner candidate while not in San fran- is only 45 min away from the bay area, has more than 10 yrs of exp- i can't tell how many years of experience the other candidate has because its not indicated on her profile"
25,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/gerardmaggiolino,https://linkedin.com/in/warren-craddock-8bb60a4,B,"Both candidates have the skillset, but the winner has more years of experience in this space.  He manages a team that is responsible for simulated hardware failures which is used to train ML models and test them.  His team works directly with drones"
254,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/pulkit-budhiraja-8409aa21,https://linkedin.com/in/ethan-zhou-0499951,B,Both are perception engineers and both work with AV's but the winner has more years of related experience whereas the other candidate has 3 (his previous experience is not with AV's)
432,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/carlos-afonso-w,https://linkedin.com/in/dhabrams,A,The winner has more years of experience with AI/ML- he worked in house and developed & delivered AI/ML training programs and he currently is a founder of a company that provides AI/ML training services & consulting services 
892,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/aminshreyaa,https://linkedin.com/in/applied-ai,B,both candidates have the skillset and worked inhouse and both are founders - however the winner has more technical years of experience with AI/ML
247,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/mohammad-naqvi-a867991a,https://linkedin.com/in/nbaldasaro,B, Both candidates have worked inhouse as well as founded companies.  However the winner has more direct experience (stronger technical) than the other candidate. the other candidate leverages AI but his career hasn't solely been focused on it.
914,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/ykiranmurty,https://linkedin.com/in/michaelkinnear,A,"Winner appears to have a stronger technical background coupled with a solid understanding of AI/ML. He developed and rolled out technology roadmaps The other candidate, while having AI/ML experience it seems to be geared specifically toward finance as that has been the bulk of his career"
