id,query,url1,url2,winner,comment
310,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",https://linkedin.com/in/alievsky,https://linkedin.com/in/sjunwikul,,
213,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/kylekrafka,https://linkedin.com/in/mo-taz-al-hami-1487a882,,
120,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/paul-shved,https://linkedin.com/in/manlio-barajas,,
559,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/jessica-eindhoven-260388198,https://linkedin.com/in/prsnkrsn,,
25,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/gerardmaggiolino,https://linkedin.com/in/warren-craddock-8bb60a4,,
254,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/pulkit-budhiraja-8409aa21,https://linkedin.com/in/ethan-zhou-0499951,,
432,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/carlos-afonso-w,https://linkedin.com/in/dhabrams,,
892,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/aminshreyaa,https://linkedin.com/in/applied-ai,,
247,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/mohammad-naqvi-a867991a,https://linkedin.com/in/nbaldasaro,,
914,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/ykiranmurty,https://linkedin.com/in/michaelkinnear,,
