id,query,url1,url2,winner,comment
217,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",https://linkedin.com/in/moraviameansquality,https://linkedin.com/in/eric-gross-oz,,
159,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",https://linkedin.com/in/arkokoley,https://linkedin.com/in/bill-streilein-084a78,,
378,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/hamishtushar,https://linkedin.com/in/darrenalilim,,
520,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,https://linkedin.com/in/cameron-froehlich-84b86891,https://linkedin.com/in/hanifigunes,,
794,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/yang-xue,https://linkedin.com/in/neerajpanse,,
27,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,https://linkedin.com/in/ujjawal-prasad,https://linkedin.com/in/caleb-m-levy,,
553,AI strategy consultant with a technical background and a deep understanding of AI / ML. They need to have some inhouse experience and have been a founder in their career. Based in New York,https://linkedin.com/in/shankarmohan2,https://linkedin.com/in/gus-bekdash,,
556,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/fredt1,https://linkedin.com/in/rishi-n-434444,,
138,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/lisheng-wang-9796883,https://linkedin.com/in/sergiogurrieri,,
288,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/roxettemiranda,https://linkedin.com/in/janedwinboyer,,
748,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/neil-shah-b4a48642,https://linkedin.com/in/drtimlinnet,,
838,"Active angel investors who are interested in deep tech startup investments, spinouts from top universities. Only show people from the U.S.",https://linkedin.com/in/panelli,https://linkedin.com/in/alimgiga,,
524,Amazon PPC Specialist in e-commerce sector in Boston,https://linkedin.com/in/e-a,https://linkedin.com/in/1lb,,
