id,query,rank,source1,docid1,source2,docid2,url1,url2,winner,comment
974,"A Boston University (BU) alum that is a head of a department or a founder at an AI first, or AI adjacent company. The company can be losely related to AI or LLMs, or might be working to building out their AI feature set. Only show people from the U.S.",3.0,Exa.AI,charles-wong-46046826,PeopleGPT,alievsky,https://linkedin.com/in/charles-wong-46046826,https://linkedin.com/in/alievsky,,
986,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,0.0,LinkedIn,chen-wei-christopher-hong-4b189162,Exa.AI,henrylu1,https://linkedin.com/in/chen-wei-christopher-hong-4b189162,https://linkedin.com/in/henrylu1,,
522,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,8.0,Exa.AI,andyqi,Pearch.AI,mattstrom,https://linkedin.com/in/andyqi,https://linkedin.com/in/mattstrom,,
570,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,5.0,PeopleGPT,jeffyip7,LinkedIn,bvaishnavi91,https://linkedin.com/in/jeffyip7,https://linkedin.com/in/bvaishnavi91,,
54,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,7.0,Pearch.AI,stevenschlansker,Exa.AI,jlo1,https://linkedin.com/in/stevenschlansker,https://linkedin.com/in/jlo1,,
292,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,3.0,LinkedIn,vinodpgowda,Pearch.AI,sean-schaffer,https://linkedin.com/in/vinodpgowda,https://linkedin.com/in/sean-schaffer,,
346,A backend engineer from a top computer science program living in san francisco with 5 years experience working in startups developing performant and scalable backend systems and databases,4.0,LinkedIn,devanshshri,PeopleGPT,kevin-wang-b96499128,https://linkedin.com/in/devanshshri,https://linkedin.com/in/kevin-wang-b96499128,,
737,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,0.0,PeopleGPT,manlio-barajas,LinkedIn,alvinzhu88,https://linkedin.com/in/manlio-barajas,https://linkedin.com/in/alvinzhu88,,
687,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,6.0,LinkedIn,ankur-deka,PeopleGPT,gerardmaggiolino,https://linkedin.com/in/ankur-deka,https://linkedin.com/in/gerardmaggiolino,,
209,A perception or computer vision engineer with experience at a startup related to self-driving cars or drones based in San Francisco,9.0,PeopleGPT,pavelsurmenok,LinkedIn,rreynoso8,https://linkedin.com/in/pavelsurmenok,https://linkedin.com/in/rreynoso8,,
